slug,title,net_effect_consensus,median_pay,num_jobs,fable5_commercial_weight,fable5_consumer_weight,fable5_undefined_weight,fable5_rationale,gpt56sol_commercial_weight,gpt56sol_consumer_weight,gpt56sol_undefined_weight,gpt56sol_rationale,grok45_commercial_weight,grok45_consumer_weight,grok45_undefined_weight,grok45_rationale,avg_commercial_weight,avg_consumer_weight,avg_undefined_weight
assemblers-and-fabricators,Assemblers and fabricators,resilient,43570,1885400,0.95,0.0,0.05,"Disruption comes from manufacturers purchasing AI-enabled robotics, machine vision, and cobots for factory floors — capital equipment bought by employers, with no plausible pathway for individual consumers to bypass industrial assembly workers directly.",0.95,0.0,0.05,"Nearly all disruption comes from manufacturers purchasing AI-enabled robotics, machine vision, and quality-control systems, with no meaningful direct-to-consumer substitution channel.",0.95,0.0,0.05,"AI disruption occurs almost entirely via employers purchasing robotics, machine vision, and collaborative automation systems for factory floors, with negligible consumer channel since individuals do not hire assemblers as a personal service.",0.95,0.0,0.05
biological-technicians,Biological technicians,resilient,52000,82700,0.95,0.0,0.05,"Biological technicians work within institutional labs whose employers purchase AI analysis tools and lab automation systems; individuals cannot bypass this professional service, leaving no consumer channel.",0.95,0.0,0.05,"Biological technicians are primarily disrupted by employer-purchased laboratory automation, analytics, documentation, and experimental-design tools, with virtually no direct consumer market for bypassing their work.",0.95,0.0,0.05,"Biological technicians are employed by labs, biotech firms, pharma, and research institutions that purchase AI analysis tools and lab automation; individuals do not hire or replace them as a consumer service.",0.95,0.0,0.05
boilermakers,Boilermakers,resilient,73340,10400,0.9,0.0,0.1,"What minimal AI disruption exists (robotic welding, predictive maintenance, defect detection, blueprint tools) would be purchased by industrial employers and contractors, not individuals, since consumers never directly hire boilermakers for personal services.",0.95,0.0,0.05,"Nearly all plausible AI disruption comes from industrial employers purchasing tools for planning, inspection, safety monitoring, predictive maintenance, or robotic welding, with no meaningful direct-to-consumer channel.",1.0,0.0,0.0,"Boilermaker work is exclusively industrial/site-based for employers and facilities, so any AI tools for blueprints, inspection, predictive maintenance, or robotic welding are purchased by companies rather than individual consumers.",0.95,0.0,0.05
chemical-engineers,Chemical engineers,resilient,121860,21600,0.95,0.0,0.05,"AI process simulation, generative design, and optimization tools are purchased by chemical manufacturers and engineering firms for their staff, with no meaningful consumer market since individuals do not hire chemical engineers directly.",0.95,0.0,0.05,"Chemical engineering AI tools for simulation, process optimization, design, compliance, and plant operations are overwhelmingly purchased by industrial employers, with virtually no direct consumer substitution for professional chemical engineering services.",0.95,0.0,0.05,"AI tools for process simulation, design optimization, and documentation are purchased by industrial employers and engineering firms that hire chemical engineers, with virtually no consumer market for individuals to bypass the profession.",0.95,0.0,0.05
clinical-laboratory-technologists-and-technicians,Clinical laboratory technologists and technicians,resilient,61890,351200,0.95,0.0,0.05,"AI image analysis, result interpretation, and lab automation tools are purchased by hospitals, diagnostic labs, and health systems, while individuals cannot bypass clinical laboratory testing with consumer AI given specimen handling and regulatory requirements.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from laboratories, hospitals, and diagnostic organizations purchasing workflow automation, image-analysis, quality-monitoring, and result-interpretation systems, with virtually no direct consumer replacement of hands-on laboratory professionals.",0.95,0.0,0.05,"AI tools for image analysis, result interpretation, and workflow automation are purchased by hospitals and clinical labs to augment technologists, with virtually no consumer pathway for individuals to bypass lab professionals given the need for physical specimens and equipment.",0.95,0.0,0.05
electrical-and-electronics-engineering-technicians,Electrical and electronic engineering technologists and technicians,resilient,77180,93700,0.95,0.0,0.05,"AI tools for circuit drafting, test-data analysis, diagnostics, and documentation are purchased by manufacturers, labs, and engineering firms employing these technicians, with no meaningful consumer market for individuals bypassing this industrial B2B service.",0.95,0.0,0.05,"Nearly all disruption comes from employers purchasing AI-enabled engineering, diagnostics, testing, and documentation tools to augment technicians, with little scope for consumers to bypass these professionals directly.",0.95,0.0,0.05,"AI tools that draft diagrams, analyze test data, diagnose faults, and generate reports are bought by employers (manufacturers, labs, engineering firms) to augment technicians; there is essentially no consumer market in which individuals buy AI to bypass hiring these specialized hands-on professionals.",0.95,0.0,0.05
line-installers-and-repairers,Electrical power-line installers and repairers,resilient,92560,127400,0.9,0.0,0.1,"What limited AI disruption exists comes from utilities and grid operators purchasing outage prediction, drone inspection, and dispatch optimization tools; individuals cannot bypass line workers with consumer AI, so any residual ambiguity is minor.",0.95,0.0,0.05,"Nearly all AI impact comes from utilities and contractors purchasing tools for outage prediction, drone inspection, diagnostics, scheduling, dispatch, and training, while consumers cannot realistically bypass line workers for hazardous grid work.",1.0,0.0,0.0,"AI tools for outage prediction, drone inspection, scheduling, and diagnostics are bought exclusively by utilities and employers; individuals never hire or bypass power-line installers.",0.95,0.0,0.05
electro-mechanical-technicians,Electro-mechanical and mechatronics technologists and technicians,resilient,70760,15000,0.9,0.0,0.1,"AI diagnostic, predictive maintenance, and schematic-analysis tools are purchased by manufacturers and industrial employers for their technicians; individuals have no consumer pathway to bypass factory-floor electro-mechanical work.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from employers purchasing industrial diagnostic, predictive-maintenance, engineering, and reporting tools to augment technicians, with essentially no direct consumer substitution.",1.0,0.0,0.0,"AI tools for diagnostics, predictive maintenance, schematic analysis, and reporting are purchased by manufacturers and industrial employers to augment on-site technicians, with no consumer market for bypassing these industrial services.",0.95,0.0,0.05
emergency-management-directors,Emergency management directors,resilient,86130,13200,0.9,0.0,0.1,"AI planning, hazard modeling, and drafting tools are procured by government agencies and institutions employing these directors, and individuals do not personally hire emergency management services, leaving no consumer bypass channel and only minor ambiguity around public-sector procurement dynamics.",0.95,0.0,0.05,"AI tools for emergency planning, hazard analysis, communications, and resource coordination are overwhelmingly purchased by government agencies and other employing institutions, with virtually no direct-to-consumer substitution for the director role.",1.0,0.0,0.0,"AI tools for planning, hazard analysis, and communications are purchased by government agencies and institutions that employ emergency management directors; individuals never hire or replace these professionals out of pocket.",0.95,0.0,0.05
firefighters,Firefighters,resilient,59530,344900,0.9,0.0,0.1,"The minimal AI disruption comes from fire departments and municipalities purchasing tools for dispatch, wildfire prediction, drone reconnaissance, and reporting; individuals cannot replace emergency fire response with consumer AI, leaving a small undefined share for public-sector context ambiguity.",0.95,0.0,0.05,"Nearly all AI augmentation, such as dispatch optimization, predictive mapping, drone reconnaissance, training, and report automation, would be purchased by fire departments or public-safety agencies rather than individual consumers.",1.0,0.0,0.0,"Any AI tools for dispatch, prediction, drones, training, or reporting are purchased by fire departments and public agencies as employers, with no viable consumer path for individuals to replace emergency firefighting services.",0.95,0.0,0.05
food-and-tobacco-processing-workers,Food processing equipment workers,resilient,40050,282600,0.9,0.0,0.1,"Any AI disruption comes from food manufacturers purchasing sensor-based monitoring, predictive maintenance, and process-control systems, with no plausible consumer channel since individuals cannot bypass industrial food processing, and modest ambiguity from the blurred line between AI and traditional automation.",0.95,0.0,0.05,"Nearly all disruption comes from food-processing employers purchasing AI-enabled sensors, computer vision, predictive maintenance, and process-control systems, with no meaningful direct-to-consumer substitution channel.",1.0,0.0,0.0,"Any AI disruption (sensors, computer vision, predictive maintenance, process controls) is purchased by food manufacturers as industrial tools; consumers never hire these workers or buy AI to replace them.",0.95,0.0,0.05
health-and-safety-engineers,Health and safety engineers,resilient,109660,23800,0.95,0.0,0.05,"Health and safety engineers work for employers meeting regulatory compliance obligations, so AI tools for plan review, hazard analysis, and compliance documentation would be purchased by companies and institutions, with no meaningful individual consumer market for bypassing these professionals.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from employers, engineering firms, and regulated organizations purchasing compliance, risk-analysis, monitoring, and documentation tools, with virtually no direct consumer substitution for professional safety engineers.",0.95,0.0,0.05,"Health and safety engineers work almost exclusively for employers, facilities, or consulting firms whose regulatory and site-based needs drive demand, so AI tools for plan review, risk modeling, compliance docs, and incident analysis are purchased by organizations rather than individual consumers.",0.95,0.0,0.05
heavy-and-tractor-trailer-truck-drivers,Heavy and tractor-trailer truck drivers,resilient,57440,2235100,0.95,0.0,0.05,"Autonomous trucking systems, ADAS, routing, and dispatch AI are purchased by fleet operators and logistics companies, not by individuals, and no consumer bypasses a truck driver by buying AI themselves.",0.95,0.0,0.05,"AI disruption in trucking primarily comes from carriers and logistics firms purchasing autonomous-driving, routing, monitoring, and fleet-management systems, with virtually no direct consumer purchase substituting for truck drivers.",0.95,0.0,0.05,"Autonomous trucking systems and related AI tools are purchased by trucking fleets, logistics firms, and carriers to replace or reduce driver headcount, with virtually no consumer pathway for individuals to bypass hiring heavy-truck services.",0.95,0.0,0.05
labor-relations-specialists,Labor relations specialists,resilient,93500,65400,0.9,0.05,0.05,"AI tools for contract drafting, grievance analysis, and compliance are purchased by employers, unions, and HR departments, while only a marginal share involves individual workers using AI to self-advocate in disputes instead of relying on a specialist.",0.95,0.0,0.05,"Labor relations specialists primarily work for employers, unions, or consulting organizations that purchase AI tools for agreement analysis, policy drafting, compliance, grievance triage, and case preparation, with virtually no direct-to-consumer substitution.",1.0,0.0,0.0,"Labor relations specialists work inside employers, unions, or agencies that buy AI for drafting agreements, grievance analysis, and compliance, with no consumer pathway for individuals to replace the service out of pocket.",0.95,0.0167,0.0333
logging-workers,Logging workers,resilient,49540,44300,0.9,0.0,0.1,"What little AI disruption exists comes from logging companies purchasing harvest planning software, computer-vision grading, and semi-autonomous equipment; individuals do not buy AI to replace loggers, though the occupation's overall resilience makes channel attribution partly moot.",0.95,0.0,0.05,"Nearly all AI disruption would come from logging companies purchasing machine-vision, planning, monitoring, and semi-autonomous equipment systems, with no meaningful direct-to-consumer replacement channel.",1.0,0.0,0.0,"Any AI tools for planning, grading, monitoring, or semi-autonomous harvesting equipment are purchased by logging firms and timber companies, with no pathway for individual consumers to bypass professional logging services.",0.95,0.0,0.05
mechanical-engineering-technicians,Mechanical engineering technologists and technicians,resilient,68730,38300,0.95,0.0,0.05,"Mechanical engineering technicians work for manufacturers and engineering firms that purchase AI-enabled CAD, simulation, and analysis tools; individuals do not hire these technicians directly, so there is essentially no consumer bypass channel.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from employers purchasing AI-enabled CAD, simulation, testing, analysis, and reporting tools, with virtually no direct consumer substitution for this industrial occupation.",0.95,0.0,0.05,"AI tools for CAD, simulation, test analysis, and reporting are purchased by manufacturing firms and engineering employers to augment staff, with virtually no consumer market for individuals to bypass these technicians.",0.95,0.0,0.05
natural-sciences-managers,Natural sciences managers,resilient,161180,104300,0.95,0.0,0.05,"AI tools that automate research planning, reporting, budgeting, and project oversight are purchased by research institutions, labs, and corporate R&D organizations, with no meaningful pathway for individuals to bypass a natural sciences manager via consumer AI.",0.95,0.0,0.05,"Natural sciences managers are primarily augmented by employer-provided research, analytics, reporting, budgeting, and project-management AI, with virtually no direct-to-consumer substitution channel.",0.95,0.0,0.05,"Natural sciences managers are internal organizational roles whose AI tools for reporting, budgeting, literature review, and project oversight are purchased by employers/institutions, with no meaningful consumer pathway for individuals to bypass the occupation.",0.95,0.0,0.05
nuclear-engineers,Nuclear engineers,resilient,127520,15400,0.95,0.0,0.05,"AI tools for reactor simulation, safety analysis, and regulatory documentation are purchased by utilities, national labs, and engineering firms; no individual consumer would ever bypass a nuclear engineer with a personal AI tool.",0.95,0.0,0.05,"Nuclear engineering AI tools for simulation, design, safety analysis, documentation, and compliance will overwhelmingly be purchased by utilities, engineering firms, laboratories, and government institutions rather than individual consumers.",0.95,0.0,0.05,"Nuclear engineering is almost exclusively performed for utilities, labs, defense, and engineering firms that would purchase AI simulation/design/compliance tools; no meaningful consumer market exists for individuals to replace nuclear engineers.",0.95,0.0,0.05
oil-and-gas-workers,Oil and gas workers,resilient,52610,115900,0.9,0.0,0.1,"Any AI disruption (automated drilling, remote monitoring, predictive maintenance) is purchased by energy companies as enterprise/industrial technology, with no consumer path since individuals cannot bypass oil and gas extraction services, and a small undefined share for automation-versus-AI ambiguity.",0.95,0.0,0.05,"Nearly all plausible disruption comes from oil and gas employers adopting AI-enabled monitoring, predictive maintenance, and automated drilling systems, with no meaningful direct-to-consumer substitution channel.",1.0,0.0,0.0,"Any AI tools for remote monitoring, predictive maintenance, or drilling optimization are purchased by oil and gas companies as employers, with no pathway for individual consumers to bypass or replace these industrial extraction workers.",0.95,0.0,0.05
pharmacy-technicians,Pharmacy technicians,resilient,43460,490400,0.95,0.0,0.05,"Pharmacies, hospitals, and retail chains purchase dispensing robots, AI-driven claims processing, and prescription workflow software, while consumers cannot legally bypass the pharmacy to dispense their own medications, leaving essentially no consumer channel.",0.95,0.0,0.05,"Nearly all disruption comes from pharmacies, hospitals, and other employers purchasing AI-enabled dispensing, claims, inventory, and workflow systems, with little scope for consumers to replace pharmacy technicians directly.",0.95,0.0,0.05,"AI disruption of pharmacy technicians occurs almost entirely through employer-purchased systems (dispensing robots, claim-processing AI, inventory tools) bought by pharmacies and hospitals; individuals cannot bypass technicians to obtain regulated medications via consumer AI.",0.95,0.0,0.05
postsecondary-education-administrators,Postsecondary education administrators,resilient,103960,226600,0.9,0.05,0.05,"AI tools for admissions processing, records management, scheduling, and analytics are purchased by colleges and universities as institutional software, with only marginal disruption from students using consumer AI for self-service advising or application guidance instead of interacting with administrators.",0.95,0.0,0.05,"Nearly all disruption comes from colleges and universities purchasing AI systems to automate or augment admissions, records, scheduling, compliance, analytics, advising, and administrative communications.",1.0,0.0,0.0,"AI tools automating admissions processing, records, scheduling, and related admin work are purchased by universities and colleges as employers, with no consumer pathway for individuals to bypass or replace these institutional roles.",0.95,0.0167,0.0333
preschool-and-childcare-center-directors,Preschool and childcare center directors,resilient,56270,90200,0.9,0.0,0.1,"AI tools for budgeting, scheduling, compliance, and parent communications are purchased by childcare centers or their operators, not individual workers, and families cannot substitute AI for onsite childcare leadership, leaving only minor ambiguity for owner-operators buying tools personally.",0.95,0.0,0.05,"AI disruption primarily comes from childcare centers purchasing administrative, scheduling, compliance, and communication tools to augment directors, with virtually no direct consumer pathway for replacing onsite leadership.",1.0,0.0,0.0,"AI tools that streamline directors' admin work (budgeting, scheduling, compliance, parent communications) are bought by childcare centers and employers; parents cannot bypass or replace a center director with consumer AI.",0.95,0.0,0.05
sales-managers,Sales managers,resilient,138060,619500,0.95,0.0,0.05,"Sales managers are employees whose analytical work (forecasting, pipeline analysis, CRM reporting) is augmented by AI tools purchased by their companies, with no consumer channel since individuals do not hire sales managers as a personal service.",0.95,0.0,0.05,"Sales managers are overwhelmingly disrupted by employer-purchased CRM analytics, forecasting, reporting, coaching, and sales automation tools, with virtually no direct consumer channel.",0.95,0.0,0.05,"Sales managers are organizational employees whose analytical and coaching work is augmented by employer-purchased CRM, forecasting, and sales-ops AI tools, with virtually no consumer market in which individuals hire or bypass sales managers as a personal service.",0.95,0.0,0.05
transportation-storage-and-distribution-managers,"Transportation, storage, and distribution managers",resilient,102010,216700,0.95,0.0,0.05,"AI logistics, routing, and supply chain optimization software is purchased by employers to augment or reduce management headcount, with no plausible path for individual consumers to bypass distribution managers directly.",0.95,0.0,0.05,"AI disruption comes overwhelmingly from employers purchasing logistics, routing, warehouse, forecasting, and compliance systems to augment managers, with virtually no direct consumer substitution.",0.95,0.0,0.05,"AI logistics, WMS, routing, inventory, and forecasting tools are purchased by employers to augment or restructure these managers' roles inside firms; individuals do not hire or replace transportation/distribution managers as a consumer service.",0.95,0.0,0.05
agricultural-workers,Agricultural workers,resilient,35980,812600,0.9,0.0,0.1,"What limited AI disruption exists comes from farms and agribusinesses purchasing precision agriculture systems, autonomous equipment, and monitoring tools; individuals do not buy AI to replace farm labor, though robotics-versus-AI ambiguity leaves a small undefined share.",0.95,0.0,0.05,"AI disruption primarily comes from farms and agricultural employers purchasing precision-agriculture systems, autonomous machinery, robotics, and monitoring tools, with virtually no direct consumer bypass of agricultural workers.",0.95,0.0,0.05,"AI disruption occurs almost entirely through farms and agribusinesses purchasing precision-agriculture systems, autonomous equipment, sensors, and robotic tools that reduce demand for hired field labor, with no consumer pathway for individuals to bypass agricultural workers as a paid professional service.",0.9333,0.0,0.0667
bus-drivers,Bus drivers,resilient,48370,546100,0.85,0.05,0.1,"Autonomous driving systems and routing/monitoring AI would be procured by transit agencies, school districts, and bus operators rather than individuals, with only marginal consumer-side disruption from riders substituting robotaxi services for bus trips.",0.95,0.0,0.05,"AI routing, driver-assistance, monitoring, and autonomous-bus systems would overwhelmingly be purchased by transit agencies, school districts, and private fleet operators rather than by individual passengers.",1.0,0.0,0.0,"AI disruption arises from autonomous driving systems, routing, and fleet tools purchased by transit agencies, school districts, and bus operators, with no pathway for individual consumers to buy AI that replaces bus-driver services.",0.9333,0.0167,0.05
calibration-technologists-and-technicians,Calibration technologists and technicians,resilient,65040,15800,0.9,0.0,0.1,"What limited AI disruption exists comes from industrial employers purchasing calibration management software, predictive analytics, and self-calibrating instruments; individuals do not buy calibration services out of pocket, leaving no consumer channel and only minor ambiguity around embedded self-calibration in equipment purchases.",0.95,0.0,0.05,"Nearly all AI disruption comes from employers and calibration-service organizations purchasing diagnostic, workflow, predictive-maintenance, and self-calibration technologies, with essentially no direct consumer substitution.",0.95,0.0,0.05,"AI assistance for documentation, diagnostics, scheduling, and self-calibrating instruments is purchased by employers and industrial facilities that employ calibration techs, with essentially no consumer market for individuals to bypass these specialized B2B services.",0.9333,0.0,0.0667
civil-engineering-technicians,Civil engineering technologists and technicians,resilient,64200,64900,0.95,0.0,0.05,"AI-assisted CAD, cost estimation, and plan review tools are purchased by engineering firms, construction companies, and government agencies that employ these technicians, with no meaningful path for individual consumers to bypass this institutional infrastructure work.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from engineering firms, contractors, and public agencies purchasing AI-enabled CAD, estimation, analysis, and project-management tools, with virtually no direct consumer substitution.",0.9,0.0,0.1,"AI tools for CAD drafting, estimation, plan review, and reporting are purchased by engineering firms, contractors, and public agencies that employ these technicians, with virtually no consumer market for individuals to bypass the occupation.",0.9333,0.0,0.0667
civil-engineers,Civil engineers,resilient,99590,368900,0.95,0.0,0.05,"AI design, simulation, and compliance tools are purchased by engineering firms, construction companies, and government agencies that employ civil engineers, while individuals cannot bypass licensed PE sign-off for infrastructure work, leaving essentially no consumer channel.",0.95,0.0,0.05,"Civil engineering AI tools such as AI-enabled CAD, simulation, estimation, compliance, and project-monitoring systems are overwhelmingly purchased by engineering firms, contractors, governments, and infrastructure owners, with virtually no direct-to-consumer substitution due to licensure, liability, and project complexity.",0.9,0.05,0.05,"Civil engineering AI tools (CAD/BIM, generative design, analysis, code checks) are purchased by firms, agencies, and contractors that employ engineers, while direct consumer replacement of licensed civil engineering services is rare and limited to minor private structural consultations.",0.9333,0.0167,0.05
construction-equipment-operators,Construction equipment operators,resilient,58320,539500,0.9,0.0,0.1,"Autonomous and AI-assisted heavy equipment (GPS grading, remote-operated dozers, collision avoidance) is purchased by construction firms and contractors, not individuals, with a small undefined share for owner-operator contexts where the buyer-worker distinction blurs.",0.95,0.0,0.05,"Nearly all disruption comes from construction firms and equipment owners purchasing AI-enabled machinery, guidance systems, remote-operation tools, and predictive-maintenance software, with negligible direct consumer substitution.",0.95,0.0,0.05,"AI disruption arises almost entirely from construction firms and contractors purchasing autonomous/semi-autonomous equipment, GPS machine guidance, and related systems; individuals do not buy tools to replace equipment operators.",0.9333,0.0,0.0667
correctional-officers,Correctional officers and bailiffs,resilient,57950,406500,0.9,0.0,0.1,"Any AI disruption comes from correctional institutions and court systems purchasing surveillance analytics, contraband detection, and report-writing tools; individuals cannot buy a substitute for custodial supervision, leaving a small residual for ambiguous government procurement dynamics.",0.95,0.0,0.05,"Nearly all AI disruption would come from correctional institutions, courts, or government agencies purchasing surveillance, threat-detection, scheduling, and reporting tools, with no meaningful direct-to-consumer substitution channel.",0.95,0.0,0.05,"Any AI tools for surveillance analytics, report writing, risk scoring, or monitoring are purchased by prisons, courts, and government agencies as employers, with no viable consumer pathway for individuals to replace correctional officers or bailiffs.",0.9333,0.0,0.0667
dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians,Dental and ophthalmic laboratory technicians and medical appliance technicians,resilient,45820,66800,0.9,0.0,0.1,"AI disruption comes almost entirely from dental labs, optical labs, and appliance manufacturers purchasing CAD/CAM, AI-assisted design, and 3D printing systems, since individuals cannot fabricate prescription appliances themselves; a small undefined share reflects shifting direct-to-consumer channels (e.g., online aligners/eyewear) that reorganize rather than clearly consumerize the work.",0.95,0.0,0.05,"AI-assisted CAD/CAM, computer vision, automated machining, and 3D-printing systems are overwhelmingly purchased by dental and ophthalmic laboratories or healthcare organizations, with virtually no direct consumer substitution for technicians' specialized physical fabrication work.",0.95,0.0,0.05,"AI-driven CAD/CAM design, generative modeling, computer vision inspection, and automated 3D-printing/machining systems are purchased by dental labs, optical labs, and medical-appliance manufacturers that employ the technicians, while consumers have no practical way to buy AI tools that replace the physical fabrication of regulated appliances.",0.9333,0.0,0.0667
dental-assistants,Dental assistants,resilient,47300,381900,0.9,0.0,0.1,"What little AI disruption exists comes from dental practices purchasing scheduling, billing, records, and imaging-support software; patients cannot substitute AI for hands-on chairside care, leaving no consumer channel.",0.95,0.0,0.05,"Nearly all disruption comes from dental practices purchasing AI for scheduling, billing, records, and imaging support, while patients cannot use consumer AI to replace dental assistants' hands-on chairside work.",0.95,0.0,0.05,"AI disruption is limited to peripheral admin, scheduling, billing, and imaging-support tools purchased by dental practices/employers, with no realistic consumer path for individuals to bypass dental assistants.",0.9333,0.0,0.0667
diagnostic-medical-sonographers,Diagnostic medical sonographers,resilient,89340,90000,0.9,0.0,0.1,"AI-assisted ultrasound tools (automated measurements, image optimization, probe guidance) are purchased by hospitals, clinics, and imaging centers as equipment/software, while consumers cannot bypass sonographers since imaging requires specialized hardware and clinical settings; small undefined weight reflects emerging point-of-care devices whose channel could shift.",0.95,0.0,0.05,"AI disruption primarily comes from hospitals, clinics, and imaging practices purchasing ultrasound systems or software for image optimization, automated measurements, quality control, and anomaly detection, while patients are unlikely to replace hands-on sonography directly with consumer AI.",0.95,0.0,0.05,"AI tools for image optimization, automated measurements, anomaly flagging, and probe guidance are purchased by hospitals and clinics to augment employed sonographers, while consumers cannot realistically self-perform diagnostic ultrasound exams.",0.9333,0.0,0.0667
elevator-installers-and-repairers,Elevator and escalator installers and repairers,resilient,106580,24200,0.9,0.0,0.1,"The limited AI disruption comes from elevator service companies and building owners purchasing predictive maintenance, diagnostic, and scheduling tools; individuals cannot bypass licensed technicians for code-regulated elevator work, leaving no consumer channel.",0.95,0.0,0.05,"AI disruption would overwhelmingly come from elevator contractors, manufacturers, and building operators purchasing diagnostic, predictive-maintenance, scheduling, and documentation tools, with virtually no direct consumer substitution for licensed physical work.",0.95,0.0,0.05,"AI tools for predictive maintenance, diagnostics, and scheduling are bought by elevator service firms, building owners, or manufacturers to augment technicians, with essentially no consumer path for individuals to bypass licensed onsite installers/repairers.",0.9333,0.0,0.0667
emts-and-paramedics,EMTs and paramedics,resilient,46350,282900,0.9,0.05,0.05,"The limited AI disruption (dispatch optimization, documentation, EKG decision support) comes from EMS agencies and hospitals purchasing tools for their crews, with only a marginal consumer effect from individuals using AI symptom triage to decide whether to call 911.",0.95,0.0,0.05,"Nearly all AI disruption comes from EMS agencies, hospitals, municipalities, and ambulance operators purchasing dispatch, documentation, diagnostic-support, and workflow tools, while consumers rarely use AI to bypass emergency responders.",0.95,0.0,0.05,"AI tools for dispatch, documentation, EKG support, and decision aids are bought by EMS agencies, hospitals, and fire departments; individuals cannot replace on-scene emergency response with consumer AI.",0.9333,0.0167,0.05
environmental-engineering-technicians,Environmental engineering technologists and technicians,resilient,58890,12900,0.9,0.0,0.1,"AI tools for data analysis, compliance reporting, and automated sensor monitoring are purchased by engineering firms, environmental agencies, and industrial employers, with no meaningful consumer channel since individuals do not hire environmental technicians directly.",0.95,0.0,0.05,"AI analysis, automated sensors, compliance software, and reporting tools are overwhelmingly purchased by engineering firms, laboratories, utilities, government agencies, and other employers rather than by individual consumers.",0.95,0.0,0.05,"AI tools for data analysis, compliance reporting, sensors, and documentation are purchased by employers (firms, agencies, remediation companies) to augment technicians' work, with no meaningful consumer pathway for individuals to bypass these regulated field-based services.",0.9333,0.0,0.0667
environmental-engineers,Environmental engineers,resilient,104170,39400,0.9,0.0,0.1,"Environmental engineers serve firms, municipalities, and regulated industries, so AI tools for design, modeling, and permit documentation are purchased by engineering firms and agencies, with no meaningful path for individuals to bypass licensed engineering services out of pocket.",0.95,0.0,0.05,"Environmental engineering AI is overwhelmingly purchased by engineering firms, consultancies, utilities, governments, and industrial employers to augment analysis, modeling, design, compliance, and documentation, with virtually no direct-to-consumer substitution.",0.95,0.0,0.05,"AI tools for data analysis, modeling, permit documentation, and design are bought by engineering firms, corporations, and agencies that employ environmental engineers, while individuals almost never purchase AI to bypass licensed environmental engineering services due to regulatory and liability barriers.",0.9333,0.0,0.0667
flight-attendants,Flight attendants,resilient,67130,130800,0.85,0.0,0.15,"The minimal AI disruption comes from airlines purchasing tools for scheduling, crew communication, and reporting; consumers cannot bypass a legally mandated onboard safety role, though the overall disruption is so peripheral that some channel ambiguity remains.",0.95,0.0,0.05,"Nearly all AI augmentation of flight attendants—such as scheduling, training, translation, announcements, reporting, and risk monitoring—is purchased and deployed by airlines, while passengers cannot directly replace the mandated onboard role with consumer AI.",1.0,0.0,0.0,"Any AI tools that touch peripheral flight-attendant tasks (scheduling, training, announcements, reporting, passenger messaging) are bought by airlines as employers; passengers have no pathway to purchase AI that replaces the mandated onboard role.",0.9333,0.0,0.0667
forest-and-conservation-workers,Forest and conservation workers,resilient,43680,10800,0.85,0.0,0.15,"What little AI disruption exists comes from remote sensing, mapping, and monitoring tools purchased by government agencies, timber companies, and land management organizations, with no plausible consumer channel since individuals do not hire forest workers out of pocket; some ambiguity remains because disruption is so minimal it barely maps to any monetization channel.",0.95,0.0,0.05,"Nearly all disruption would come from forestry employers or public land agencies purchasing remote-sensing, mapping, robotics, and planning tools, with no meaningful direct-to-consumer substitution.",1.0,0.0,0.0,"Any AI tools (remote sensing, mapping, tree counting, planning) are purchased by employers such as government agencies, timber firms, or conservation organizations that hire these workers; individuals do not buy forest/conservation labor as a personal service that AI could replace.",0.9333,0.0,0.0667
geological-and-petroleum-technicians,Geological and hydrologic technicians,resilient,50510,12900,0.9,0.0,0.1,"AI tools affecting this work (GIS mapping software, automated sensors, drones, data analysis platforms) are purchased by employers like mining companies, engineering firms, and government agencies, with no consumer market since individuals do not hire geological technicians directly.",0.95,0.0,0.05,"AI disruption will overwhelmingly come from employers and institutions purchasing GIS, sensor, drone, data-analysis, and reporting tools to augment technicians, with virtually no direct consumer substitution.",0.95,0.0,0.05,"AI tools for data analysis, GIS mapping, modeling, sensors, and reporting are purchased by employers such as mining firms, environmental consultancies, utilities, and government agencies; individuals virtually never hire or bypass geological/hydrologic technicians for personal services.",0.9333,0.0,0.0667
geoscientists,Geoscientists,resilient,99240,25100,0.95,0.0,0.05,"Geoscientists are employed by energy firms, mining companies, environmental consultancies, and government agencies that purchase AI tools for seismic interpretation, GIS, and geologic modeling; individuals never buy geoscience services out of pocket, leaving no consumer channel.",0.95,0.0,0.05,"Geoscience AI is overwhelmingly acquired by energy, mining, environmental, engineering, research, and government organizations to augment employee analysis, while individuals rarely purchase AI to replace professional geoscientific services.",0.9,0.0,0.1,"Geoscientists almost exclusively work for energy, mining, environmental, and government employers that purchase specialized AI tools for seismic interpretation, modeling, and mapping, with virtually no consumer market for individuals to bypass them via personal AI purchases.",0.9333,0.0,0.0667
